id,type,area_id,label,positions,
light_balcony_bathroom_jy,Light,Balcony,Bathroom Jy,,
light_bathroom_main_k1,Light,Bathroom,Main K1,,
light_bathroom_ambient_k2,Light,Bathroom,Ambient K2,,
light_bathroom_sink_k3,Light,Bathroom,Sink K3,,
light_bathroom_desk_k4,Light,Bathroom,Desk K4,,
light_bedroom_1_bed_l1,Light,Bedroom 1,Bed L1,,
light_bedroom_1_main_l2,Light,Bedroom 1,Main L2,,
light_bedroom_1_aside_l3,Light,Bedroom 1,Aside L3,,
light_bedroom_1_wardrobe_l4,Light,Bedroom 1,Wardrobe L4,,
light_balcony_bedroom_lo,Light,Balcony,Bedroom Lo,,
light_bedroom_2_main_m1,Light,Bedroom 2,Main M1,,
light_bedroom_2_bed_m2,Light,Bedroom 2,Bed M2,,
light_bedroom_2_aside_m3,Light,Bedroom 2,Aside M3,,
light_bedroom_3_main_n1,Light,Bedroom 3,Main N1,,
light_bedroom_3_bed_n2,Light,Bedroom 3,Bed N2,,
light_bedroom_3_aside_n3,Light,Bedroom 3,Aside N3,,
light_roof_podbitka,Light,Roof,Podbitka,,
light_front_gate,Light,Front,Gate,,
spare_garage_spare_1,Spare,Garage,Spare 1,,
spare_garage_spare_2,Spare,Garage,Spare 2,,
plug_switch_balcony_bedroom_l_plug,Plug switch,Balcony,Bedroom L_plug,,
plug_switch_balcony_hall_j_plug,Plug switch,Balcony,Hall J_plug,,
plug_switch_terrace_living_room_d_plug,Plug switch,Terrace,Living Room D_plug,,
plug_switch_front_garage_a_plug,Plug switch,Front,Garage A_plug,,
shade_dining_room_1_d_shade_1,Shade,Dining Room,1 D_shade_1,,
shade_dining_room_2_d_shade_2,Shade,Dining Room,2 D_shade_2,,
shade_living_room_1_d_shade_3,Shade,Living Room,1 D_shade_3,,
shade_living_room_2_d_shade_4,Shade,Living Room,2 D_shade_4,,
shade_living_room_3_d_shade_5,Shade,Living Room,3 D_shade_5,,
shade_library_1_e_shade_1,Shade,Library,1 E_shade_1,,
shade_kitchen_1_f_shade_1,Shade,Kitchen,1 F_shade_1,,
shade_kitchen_2_f_shade_2,Shade,Kitchen,2 F_shade_2,,
