Controller
0
1
2
3
4
5
6
7
8
9
10
11
13
14
15
0
1
1
2
3
5
6
7
8
9
12
13
14
15
0
2
3
6
7
8
9
12
13
14
15
0
1
2
3
4
5
0
GPIO12
GPIO13
GPIO14
GPIO26
GPIO27
GPIO12
GPIO13
GPIO14
GPIO32
GPIO12
GPIO13
GPIO14
GPIO25
GPIO27
